"filename", "language", "PHP", "Markdown", "JSON", "SCSS", "JavaScript", "CSS", "MS SQL", "comment", "blank", "total"
"c:\Users\Lorelvis\Documents\MEGASync\Programación\Desarrollo Web\Cursos\Desarrollo web completo con HTML5, CSS3, JS, AJAX, PHP y MySQL\Proyectos\barbershop\vendor\composer\autoload_namespaces.php", "PHP", 5, 0, 0, 0, 0, 0, 0, 1, 4, 10
"c:\Users\Lorelvis\Documents\MEGASync\Programación\Desarrollo Web\Cursos\Desarrollo web completo con HTML5, CSS3, JS, AJAX, PHP y MySQL\Proyectos\barbershop\vendor\composer\autoload_psr4.php", "PHP", 10, 0, 0, 0, 0, 0, 0, 1, 4, 15
"c:\Users\Lorelvis\Documents\MEGASync\Programación\Desarrollo Web\Cursos\Desarrollo web completo con HTML5, CSS3, JS, AJAX, PHP y MySQL\Proyectos\barbershop\vendor\composer\autoload_real.php", "PHP", 25, 0, 0, 0, 0, 0, 0, 4, 10, 39
"c:\Users\Lorelvis\Documents\MEGASync\Programación\Desarrollo Web\Cursos\Desarrollo web completo con HTML5, CSS3, JS, AJAX, PHP y MySQL\Proyectos\barbershop\vendor\composer\autoload_static.php", "PHP", 54, 0, 0, 0, 0, 0, 0, 1, 8, 63
"c:\Users\Lorelvis\Documents\MEGASync\Programación\Desarrollo Web\Cursos\Desarrollo web completo con HTML5, CSS3, JS, AJAX, PHP y MySQL\Proyectos\barbershop\vendor\composer\installed.json", "JSON", 0, 0, 90, 0, 0, 0, 0, 0, 1, 91
"c:\Users\Lorelvis\Documents\MEGASync\Programación\Desarrollo Web\Cursos\Desarrollo web completo con HTML5, CSS3, JS, AJAX, PHP y MySQL\Proyectos\barbershop\vendor\composer\installed.php", "PHP", 32, 0, 0, 0, 0, 0, 0, 0, 1, 33
"c:\Users\Lorelvis\Documents\MEGASync\Programación\Desarrollo Web\Cursos\Desarrollo web completo con HTML5, CSS3, JS, AJAX, PHP y MySQL\Proyectos\barbershop\vendor\composer\platform_check.php", "PHP", 21, 0, 0, 0, 0, 0, 0, 1, 5, 27
"c:\Users\Lorelvis\Documents\MEGASync\Programación\Desarrollo Web\Cursos\Desarrollo web completo con HTML5, CSS3, JS, AJAX, PHP y MySQL\Proyectos\barbershop\vendor\phpmailer\phpmailer\README.md", "Markdown", 0, 168, 0, 0, 0, 0, 0, 0, 64, 232
"c:\Users\Lorelvis\Documents\MEGASync\Programación\Desarrollo Web\Cursos\Desarrollo web completo con HTML5, CSS3, JS, AJAX, PHP y MySQL\Proyectos\barbershop\vendor\phpmailer\phpmailer\SECURITY.md", "Markdown", 0, 19, 0, 0, 0, 0, 0, 0, 19, 38
"c:\Users\Lorelvis\Documents\MEGASync\Programación\Desarrollo Web\Cursos\Desarrollo web completo con HTML5, CSS3, JS, AJAX, PHP y MySQL\Proyectos\barbershop\vendor\phpmailer\phpmailer\composer.json", "JSON", 0, 0, 79, 0, 0, 0, 0, 0, 1, 80
